"","doi","eligiblity","study_design","functional_outcome","functional_outcome_1","functional_outcome_2","functional_outcome_3","neurological_condition_1","neurological_condition_2","effect_estimate","roc_present","covariate_intent","figure_other","figure_other_outcome_1","figure_other_outcome_2","spbg_present","figure_identification_1","figure_outcome_1","stratified_1","unadjusted_1","adjusted_1","adjustment_method_1","additional_spbg_1","figure_identification_2","figure_outcome_2","stratified_2","unadjusted_2","adjusted_2","adjustment_method_2","additional_spbg_2","figure_identification_3","figure_outcome_3","stratified_3","unadjusted_3","adjusted_3","adjustment_method_3","additional_spbg_3","figure_identification_4","figure_outcome_4","stratified_4","unadjusted_4","adjusted_4","adjustment_method_4","additional_spbg_4","figure_identification_5","figure_outcome_5","stratified_5","unadjusted_5","adjusted_5","adjustment_method_5","additional_spbg_5","contains_adj_spbg","spbg_count","spbg_outcome","SPBG_outcome","analysis_sample"
"1","10.1161/STROKEAHA.121.034670","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","No","Yes","Regression;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,1,1,"mRS","mRS","primary"
"2","10.1001/jamaneurol.2021.3723","Yes","nested cohort","Bayley Scales of Infant Development III; Gross Motor Function Classification System (GMFCS);","Bayley III","GMFCS","","Neonatal hypoxic ischemic encephalopathy","","Risk ratio",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"3","10.1002/ana.25994","Yes","cohort","UPDRS (composite);UPDRS-III;","UPDRS (composite)","UPDRS-III","","Parkinson's disease","","Beta coefficient(s) only",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"4","10.1161/STROKEAHA.120.032924","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"5","10.1161/STROKEAHA.120.032253","Yes","cohort","mRS;","mRS","",NA,"Stroke (all)","","Comparison of values between exposure status with p-value",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"6","10.1161/STROKEAHA.121.034534","Yes","cohort","mRS","mRS",NA,NA,"Stroke (all)","","Mean difference",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"7","10.1161/STROKEAHA.120.031869","Yes","cohort","mRS","mRS",NA,NA,"Ischemic stroke","","Odds ratio",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"8","10.1161/STROKEAHA.120.032025","Yes","cohort","NIHSS;","NIHSS","",NA,"Ischemic stroke","","Beta coefficient(s) only",0,"Yes","Yes","NIHSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"9","10.1161/STROKEAHA.120.030122","Yes","cohort","mRS","mRS",NA,NA,"Ischemic stroke",NA,"Odds ratio",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"10","10.1161/STROKEAHA.121.034572","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio; risk ratio; mean difference",0,"Yes","Yes","mRS",NA,"Yes","Figure 2B top","mRS","No","Yes","No",NA,"Yes","Figure 2B bottom","mRS","No","No","Yes","IPTW;","No","","","","","","","","","","","","","","","","","","","","",NA,1,2,"mRS","mRS","primary"
"11","10.1001/jamaneurol.2020.2453","Yes","cohort","EDSS;MSSS;","EDSS","MSSS","","Multiple sclerosis","","Hazard ratio",0,"Yes","Yes","EDSS"," MSSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"12","10.1161/STROKEAHA.119.027895","Yes","cohort","NIHSS;mRS","NIHSS","mRS",NA,"Ischemic stroke","","Odds ratio",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"13","10.1161/STROKEAHA.119.027958","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure D","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"14","10.1161/STROKEAHA.120.032464","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"15","10.1161/STROKEAHA.119.028511","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"16","10.1212/WNL.0000000000012558","Yes","cohort","PedNIHSS; PSOM;","PedNIHSS","PSOM","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","PedNIHSS"," PSOM","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"17","10.1161/STROKEAHA.119.027451","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"18","10.1161/STROKEAHA.121.034786","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"19","10.1016/S1474-4422(20)30067-3","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Mean difference;Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"20","10.1161/STROKEAHA.119.028246","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"21","10.1016/j.brs.2020.09.019","Yes","cohort","UPDRS-III;","UPDRS-III","",NA,"Parkinson's disease","","Number needed to treat;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"22","10.1212/WNL.0000000000011598","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 4 (top)","mRS","Yes","No","Yes","Stratified (select this if you previously indicated that the graph is stratified);Regression;","Yes","Figure 4 (bottom)","mRS","Yes","No","Yes","Stratified (select this if you previously indicated that the graph is stratified);Regression;","No","","","","","","","","","","","","","","","","","","","","",NA,1,2,"mRS","mRS","primary"
"23","10.1161/STROKEAHA.119.028562","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"24","10.1212/WNL.0000000000011242","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"25","10.1002/mds.27976","Yes","cohort","Total motor scale (TMS); total functional capacity (TFC);","TMS","TFC","","Huntington’s disease","","Mean difference;",0,"Yes","Yes","UHDRS TFC",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"26","10.1161/STROKEAHA.119.028160","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 1","mRS","No","Yes","No","NA;","Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"27","10.1161/STROKEAHA.120.032430","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2A","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"28","10.1136/svn-2021-000949","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2A","mRS","No","Yes","No","NA;","Yes","Figure 2B","mRS","No","Yes","No","NA;","Yes","Figure 2C","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","",NA,0,3,"mRS","mRS","primary"
"29","10.1002/ana.25718","Yes","cohort","Pediatric Stroke Outcome Measure (PSOM);","PSOM","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","PSOM",NA,"Yes","Figure 2B","PSOM","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","Yes","Figure 2C","PSOM","No","Yes","No","NA;","Yes","Figure 3b","PSOM","No","Yes","No","NA;","Yes","Figure 3c","PSOM","No","Yes","No","NA;","Yes","Figure 4","PSOM","No","Yes","No","NA;",NA,0,5,"PSOM","PSOM","primary"
"30","10.1161/STROKEAHA.120.030930","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"31","10.1161/STROKEAHA.119.025554","Yes","cohort","NIHSS;","NIHSS","",NA,"Ischemic stroke","","Hazard ratio;",0,"Yes","Yes","NIHSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"32","10.1136/svn-2020-000684","Yes","cohort","mRS","mRS",NA,NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"33","10.1161/STROKEAHA.119.028787","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 1A","mRS","No","Yes","No","NA;","Yes","Figure 1B","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"34","10.1212/WNL.0000000000009532","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","acute myocardial infarction (AMI)","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 4B","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"35","10.1212/WNL.0000000000010577","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 3","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"36","10.1161/STROKEAHA.120.032888","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"37","10.1212/WNL.0000000000010498","Yes","cohort","UPDRS; UPDRS-III","UPDRS (composite)","UPDRS-III",NA,"Parkinson's disease","","Beta coefficient(s) only;",0,"Yes","Yes","UPDRS"," UPDRS-III","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"38","10.1212/NXI.0000000000000974","Yes","cohort","mRS;","mRS","",NA,"Encephalitis","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"39","10.1136/jnnp-2020-323472","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"40","10.1212/WNL.0000000000010024","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"41","10.1161/STROKEAHA.119.026596","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"42","10.1161/STROKEAHA.121.034883","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 1","mRS","","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"43","10.1161/STROKEAHA.119.026437","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"44","10.1212/WNL.0000000000012106","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"45","10.1001/jamaneurol.2019.5061","Yes","cross-sectional","NIHSS;","NIHSS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","NIHSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"46","10.1136/jnnp-2019-321697","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"No","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"47","10.1161/STROKEAHA.120.030084","Yes","case-control","mRS;Barthel Index;","mRS","Barthel Index","","Hemorrhagic stroke","","Odds ratio;Comparison of values between exposure status with p-value;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"48","10.1161/STROKEAHA.119.028161","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"49","10.1136/svn-2020-000343","Yes","cohort","NIHSS;","NIHSS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"50","10.1212/WNL.0000000000012484","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 3","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"51","10.1212/WNL.0000000000010105","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2B","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"52","10.1136/svn-2020-000641","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"53","10.1212/WNL.0000000000012945","Yes","cross-sectional","SARA;ICARS;INAS;","SARA","ICARS","INAS","spinocerebellar ataxia type 2 (SCA2)","","pearson correlation r;",0,"Yes","No","SARA","INAS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"54","10.1161/STROKEAHA.119.027549","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"55","10.1002/ana.25716","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS","NIHSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"56","10.1212/WNL.0000000000013198","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 3A","mRS","No","Yes","No","NA;","Yes","Figure 3B","mRS","No","Yes","No","NA;","Yes","Figure 3C","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","",NA,0,3,"mRS","mRS","primary"
"57","10.1161/STROKEAHA.119.027255","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"58","10.1093/brain/awab033","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Beta coefficient(s) only;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"59","10.1002/mds.28349","Yes","cohort","UPDRS-III;","UPDRS-III","",NA,"Parkinson's disease","","partial correlation r;",0,"Yes","Yes","UPDRS III",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"60","10.1212/NXI.0000000000000979","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Beta coefficient(s) only;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"61","10.1161/STROKEAHA.120.032850","Yes","cohort","RS;","RS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","RS",NA,"Yes","Figure 1","RS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"RS","RS","primary"
"62","10.1161/STROKEAHA.120.030965","Yes","cohort","PSOM;","PSOM","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","PSOM",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"63","10.1161/STROKEAHA.120.030138","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"64","10.1136/svn-2020-000362","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"65","10.1161/STROKEAHA.120.029025","Yes","cohort","mRS;mNIHSS;","mRS","mNIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"66","10.1212/WNL.0000000000012918","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"No","Yes","mRS",NA,"Yes","Figure 2","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","sensitivity"
"67","10.1001/jamaneurol.2021.0001","Yes","case-control","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Comparison of values between exposure status with p-value; Mean difference;",0,"Yes","Yes","NIHSS",NA,"Yes","Figure 3","mRS","No","No","Yes","PS Matching;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,1,1,"mRS","mRS","primary"
"68","10.1161/STROKEAHA.120.031371","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;Risk ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 1","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"69","10.1161/STROKEAHA.119.027356","Yes","cohort","GOS;","GOS (unextended)","",NA,"Ischemic stroke","","Risk ratio; Odds ratio;",0,"Yes","Yes","GOS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"70","10.1161/STROKEAHA.120.032966","Yes","cohort","NIHSS;","NIHSS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"71","10.1161/STROKEAHA.121.034928","Yes","cohort","mRS; NIHSS","mRS","NIHSS",NA,"Hemorrhagic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"Yes","Figure 2","mRS","Yes","Yes","No","Stratified","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","sensitivity"
"72","10.1136/jnnp-2019-321774","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"73","10.1161/STROKEAHA.120.029345","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"74","10.1002/mds.28763","Yes","cohort","UPDRS-III;","UPDRS-III","",NA,"Parkinson's disease","","Beta coefficient(s) only;",0,"Yes","Yes","UPDRS-III",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"75","10.1002/ana.26219","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Mean difference; odds ratio;",0,"Yes","Yes","NIHSS"," mRS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"76","10.1212/WNL.0000000000008874","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"77","10.1002/mds.28510","Yes","cross-sectional","UPDRS-III;","UPDRS-III","",NA,"Parkinson's disease","","Beta coefficient(s) only;",0,"Yes","Yes","UPDRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"78","10.1161/STROKEAHA.119.028891","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"79","10.1002/mds.28805","Yes","cohort","UPDRS-III;","UPDRS-III","",NA,"Parkinson's disease","","Beta coefficient(s) only;",0,"Yes","Yes","UPDRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"80","10.1212/WNL.0000000000009951","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Comparison of values between exposure status with p-value;Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 3 top","mRS","No","Yes","No","NA;","Yes","Figure 3 bottom","mRS","No","No","Yes","PS Matching;","No","","","","","","","","","","","","","","","","","","","","",NA,1,2,"mRS","mRS","primary"
"81","10.1161/STROKEAHA.119.028221","Yes","cohort","PedNIHSS;mRS;","PedNIHSS","mRS","","Ischemic stroke","","Beta coefficient(s) only;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"82","10.1136/jnnp-2020-323742","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
