"","doi","eligiblity","study_design","functional_outcome","functional_outcome_1","functional_outcome_2","functional_outcome_3","neurological_condition_1","neurological_condition_2","effect_estimate","roc_present","covariate_intent","figure_other","figure_other_outcome_1","figure_other_outcome_2","spbg_present","figure_identification_1","figure_outcome_1","stratified_1","unadjusted_1","adjusted_1","adjustment_method_1","additional_spbg_1","figure_identification_2","figure_outcome_2","stratified_2","unadjusted_2","adjusted_2","adjustment_method_2","additional_spbg_2","figure_identification_3","figure_outcome_3","stratified_3","unadjusted_3","adjusted_3","adjustment_method_3","additional_spbg_3","figure_identification_4","figure_outcome_4","stratified_4","unadjusted_4","adjusted_4","adjustment_method_4","additional_spbg_4","figure_identification_5","figure_outcome_5","stratified_5","unadjusted_5","adjusted_5","adjustment_method_5","additional_spbg_5","contains_adj_spbg","spbg_count","spbg_outcome","SPBG_outcome","analysis_sample"
"83","10.1002/ana.26052","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Odds ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"84","10.1161/STROKEAHA.119.026769","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"85","10.1161/STROKEAHA.119.028231","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"86","10.1136/svn-2020-000332","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"87","10.1136/svn-2020-000401","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"88","10.1136/jnnp-2019-322348","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"89","10.1161/STROKEAHA.120.033537","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"90","10.1161/STROKEAHA.120.032809","Yes","cohort","mRS;Barthel Index;SIS-16;","mRS","Barthel Index","SIS-16","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","PedNIHSS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"PedNIHSS",NA,"primary"
"91","10.1161/STROKEAHA.121.034243","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"92","10.1136/svn-2020-000471","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"93","10.1161/STROKEAHA.119.026907","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"94","10.1002/mds.28080","Yes","cross-sectional","UPDRS-III;","UPDRS-III","",NA,"Parkinson's disease","","Beta coefficient(s) only;",0,"No","Yes","UPDRS-III",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"95","10.1001/jamaneurol.2019.3292","Yes","cohort","Lawton–Brody scale; Katz index;","Lawton–Brody scale","Katz index","","Dementia","","Beta coefficient(s) only;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"96","10.1212/WNL.0000000000012449","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Odds ratio;",0,"No","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"97","10.1212/NXI.0000000000000878","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"98","10.1136/svn-2019-000319","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"99","10.1212/WNL.0000000000012726","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"100","10.1212/WNL.0000000000012915","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",1,"No","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","sensitivity"
"101","10.1016/S1474-4422(21)00138-1","Yes","cohort","GOSE;","GOSE","",NA,"Hemorrhagic stroke","TBI","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"102","10.1136/jnnp-2020-325815","Yes","cohort","GBS disability score; Rasch- Built  Overall Built Disability Score;","GBS disability scale","R-ODS","","Guillain-Barré","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","GDS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"GBS disability scale",NA,"primary"
"103","10.1136/jnnp-2020-325421","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Beta coefficient(s) only;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"104","10.1212/WNL.0000000000008873","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","Yes","Regression;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,1,1,"mRS","mRS","primary"
"105","10.1093/brain/awaa162","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"106","10.1161/STROKEAHA.119.026886","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Beta coefficient(s) only;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"107","10.1136/jnnp-2020-325284","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"108","10.1136/jnnp-2019-321496","Yes","cohort","GBS  disability  scale; medical research council ( MRC) sum score;","GBS disability scale","MRC sum score","","Guillain-Barré","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","GDS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"GBS disability scale",NA,"primary"
"109","10.1001/jamaneurol.2019.4476","Yes","cohort","GOSE;","GOSE","",NA,"TBI","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2G","GOSE","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"GOSE","GOSE","primary"
"110","10.1212/WNL.0000000000012327","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2A","mRS","No","Yes","No","NA;","Yes","Figure 2B","mRS","Yes","No","Yes","PS Matching;","Yes","Figure 2C","mRS","No","No","Yes","PS Matching;","No","","","","","","","","","","","","","",NA,1,3,"mRS","mRS","primary"
"111","10.1136/jnnp-2020-323899","Yes","cohort","I-RODS; GDS;","I-RODS","GBS disability scale","","Guillain-Barré","","Odds ratio;",1,"Yes","Yes","GDS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"112","10.1001/jamaneurol.2021.2738","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"113","10.1212/WNL.0000000000009179","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"114","10.1212/WNL.0000000000010614","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"115","10.1212/WNL.0000000000008753","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2A","mRS","No","Yes","No","NA;","Yes","Figure 2B","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"116","10.1212/WNL.0000000000012294","Yes","cohort","GOS;","GOS (unextended)","",NA,"Meningitis","","Risk ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"117","10.1161/STROKEAHA.120.032242","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"118","10.1161/STROKEAHA.119.027472","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"No","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"119","10.1161/STROKEAHA.120.029920","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"120","10.1161/STROKEAHA.120.029994","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Comparison of values between exposure status with p-value;Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"121","10.1161/STROKEAHA.120.030812","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 1","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"122","10.1212/WNL.0000000000009571","Yes","case-control","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"123","10.1136/svn-2020-000656","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","AUC;",1,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"124","10.1001/jamaneurol.2021.1437","Yes","cohort","WIDEA-FS;","WIDEA-FS","",NA,"Seizures","","Mean difference;Odds ratio;",0,"Yes","Yes","WIDEA-FS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"125","10.1161/STROKEAHA.120.028972","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"126","10.1161/STROKEAHA.119.027012","Yes","cohort","mRS;","mRS","",NA,"Stroke (all)","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"127","10.1002/mds.28652","Yes","cohort","UPDRS-III;","UPDRS-III","",NA,"Parkinson's disease","","Mean difference;",0,"Yes","Yes","UPDRS-III",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"128","10.1161/STROKEAHA.120.031769","Yes","cohort","mRS;","mRS","",NA,"Stroke (all)","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 4a","mRS","No","Yes","No","NA;","Yes","Figure 4bc","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"129","10.1136/svn-2020-000570","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"130","10.1161/STROKEAHA.119.027740","Yes","cohort","NIHSS;","NIHSS","",NA,"Stroke (all)",NA,"Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"131","10.1161/STROKEAHA.119.027974","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"132","10.1161/STROKEAHA.119.028383","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"133","10.1161/STROKEAHA.120.030031","Yes","cohort","NIHSS;mRS;","NIHSS","mRS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"134","10.1161/STROKEAHA.120.030592","Yes","cohort","(KOSCHI) King’s Outcome Scale for Childhood Head Injury score;","KOSCHI","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"135","10.1161/STROKEAHA.120.031478","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","Yes","No","Yes","Stratified (select this if you previously indicated that the graph is stratified);PS Matching;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,1,1,"mRS","mRS","primary"
"136","10.1136/jnnp-2019-322038","Yes","cohort","Unified  Huntington  Disease  Rating  Scale;","UHDRS","",NA,"Huntington’s disease","","Comparison of values between exposure status with p-value;",0,"Yes","Yes","UHDRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"137","10.1161/STROKEAHA.120.031977","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"138","10.1161/STROKEAHA.121.034124","Yes","cohort","mRS;Barthel Index;Stroke Impact Scale 16;","mRS","Barthel Index","SIS-16","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"139","10.1161/STROKEAHA.120.026425","Yes","cohort","mRS;","mRS","",NA,"Stroke (all)","","Odds ratio;",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"140","10.1212/WNL.0000000000011461","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"No","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"141","10.1161/STROKEAHA.120.029861","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",1,"No","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"142","10.1161/STROKEAHA.120.033951","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"143","10.1212/WNL.0000000000013165","Yes","case-control","mRS;","mRS","",NA,"Stroke (all)","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2A","mRS","No","Yes","No","NA;","Yes","Figure 3A","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"144","10.1002/ana.25669","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","Yes","Figure 5C","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"145","10.1212/NXI.0000000000000864","Yes","cohort","EDSS;Multiple Sclerosis Severity Score (MSSS);","EDSS","MSSS","","Multiple sclerosis","","Odds ratio;",0,"Yes","Yes","MSSS","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"146","10.1001/jamaneurol.2021.1008","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"147","10.1161/STROKEAHA.120.033374","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 3","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"148","10.1136/jnnp-2019-322614","Yes","cohort","Scales  for  Outcomes  in  PD  (SCOPA);","SCOPA","",NA,"Parkinson's disease","","Cohen's d;Risk difference; Comparison between exposure status with p-value",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"149","10.1212/WNL.0000000000012858","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","Yes","Figure 1A","mRS","No","Yes","No","NA;","Yes","Figure 2B","mRS","No","Yes","No","NA;","Yes","Figure 2c","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","",NA,0,3,"mRS","mRS","primary"
"150","10.1161/STROKEAHA.120.029212","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"151","10.1212/NXI.0000000000001123","Yes","cohort","GOS;","GOS (unextended)","",NA,"Meningitis","","Odds ratio;",1,"Yes","Yes","GOS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"152","10.1212/WNL.0000000000012032","Yes","cohort","GOS-E-Peds; PCPC;","GOS-E-Peds","PCPC","","Seizures","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"153","10.1212/WNL.0000000000008881","Yes","cohort","mRS;Barthel Index;","mRS","Barthel Index","","Stroke (all)","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"154","10.1212/WNL.0000000000010135","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"155","10.1136/jnnp-2020-325141","Yes","cohort","IBMFRS;","IBMFRS","",NA,"Inclusion body myositis (IBM)","","Risk difference;",0,"Yes","Yes","IBMFRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"156","10.1136/jnnp-2020-324741","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Hazard ratio;",0,"No","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","sensitivity"
"157","10.1212/NXI.0000000000000958","Yes","cohort","mRS;","mRS","",NA,"Encephalitis","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 1 CDE","mRS","Yes","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"158","10.1161/STROKEAHA.120.029503","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"159","10.1212/WNL.0000000000012862","Yes","cohort","UPDRS-III;","UPDRS-III","",NA,"Parkinson's disease","","Beta coefficient(s) only;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"160","10.1136/jnnp-2019-320646","Yes","cohort","UHDRS;","UHDRS","",NA,"Huntington’s disease","","Beta coefficient(s) only;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"161","10.1136/svn-2020-000466","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;Hazard ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"162","10.1161/STROKEAHA.119.028586","Yes","case-control","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS","NIHSS","Yes","Figure 2 right top","mRS","No","Yes","No","NA;","Yes","Figure 2 right middle/bottom","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"163","10.1212/WNL.0000000000011788","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Odds ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"164","10.1161/STROKEAHA.120.030227","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 3a","mRS","No","Yes","No","NA;","Yes","Figure 3b","mRS","No","No","Yes","Regression;","Yes","Figure 3c","mRS","No","Yes","No","NA;","Yes","Figure 3d","mRS","No","No","Yes","Regression;","No","","","","","","",NA,1,4,"mRS","mRS","primary"
"165","10.1136/svn-2020-000476","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"166","10.1161/STROKEAHA.120.030912","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"167","10.1136/svn-2020-000351","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 1","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"168","10.1136/svn-2020-000640","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio; Mean difference;",0,"Yes","No",NA,NA,"Yes","Figure 1","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
